UC_ID | Tier | Val_IT | Raw_Tools | Tools_Tags | Desc snippet
UC_0044 | Small | False | App Script (app), Gemini (Prompts / Gems) | App Script, Gemini Prompts/Gems | "By using Gemini's canvas for programming and generating an app through Google Sites, this app allow
UC_0045 | Medium | False | Gemini (Prompts / Gems), NotebookLM, AI Studio (app) | AI Studio, Gemini Prompts/Gems, NotebookLM | 'Drafter – Strategic Document Synthesis\n\nSpecific (E&C Proposals): Automates the population of man
UC_0046 | Medium | True | Gemini (Prompts / Gems), NotebookLM, AI Studio (app) | AI Studio, Gemini Prompts/Gems, NotebookLM | 'Challenger – Strategic Red Teaming\n\nSpecific (E&C Proposals): Stress-tests the Basis of Estimate 
UC_0047 | Medium | False | Gemini (Prompts / Gems), NotebookLM, AI Studio (app) | AI Studio, Gemini Prompts/Gems, NotebookLM | 'ALign – Automated Process Architect\n\nSpecific (E&C Proposals): Automated Flowchart and SIPOC crea
UC_0048 | Medium | False | AI Studio (app), App Script (app) | AI Studio, App Script | 'Supplier Risk management. update the external risk on the critical suppliers'
UC_0049 | Small | False | AI Studio (app), App Script (app) | AI Studio, App Script | 'Supplier contract risk analyzer'
UC_0050 | Medium | True | Power BI (app), Python on Power BI (Fabric), App Script (app) | App Script, Power BI, Python on Fabric | 'Working on creating a systematic analysis tool for operations and sales to focus on undersized Bulk
UC_0051 | Medium | False | Gemini (Prompts / Gems), AI Studio (app), App Script (app), NotebookLM, Workspace Studio (ex Flows) | AI Studio, App Script, Gemini Prompts/Gems, NotebookLM, Workspace Studio | 'AI-Powered PMO Assistant \n1. Develop a unified AI tool to automate repetitive PMO tasks, such as d
UC_0052 | Medium | False | App Script (app) | App Script | '1. Shift Roster & Calendar Synchronization Tool with Backoffice Allocation EngineCore Functionality
UC_0053 | Medium | True | App Script (app) | App Script | '2. Customer Stock Balance App (Bestandsbilanz-App)\n\nCore Functionality: A highly advanced, full-s
UC_0054 | Medium | False | Gemini (Prompts / Gems), App Script (app) | App Script, Gemini Prompts/Gems | "3. AI-Driven SOP & Work Instruction Harmonization Cockpit\n\nCore Functionality: A centralized web 
UC_0055 | Medium | True | App Script (app) | App Script | '4. Zero-Touch Lead Extraction & CRM Preparation\n\nCore Functionality: A Google Apps Script workflo
UC_0056 | Medium | False | App Script (app) | App Script | '5. Training Registration & Event Management Web App\n\nCore Functionality: A custom-built Google Ap
UC_0057 | Small | False | Gemini (Prompts / Gems), NotebookLM, Workspace Studio (ex Flows) | Gemini Prompts/Gems, NotebookLM, Workspace Studio | 'Develop a unified AI solution (leveraging Gemini Gems or NotebookLM) to automate the highly repetit
UC_0058 | Medium | False | App Script (app), Workspace Studio (ex Flows) | App Script, Workspace Studio | 'Develop a unified AI solution (leveraging Gemini Gems or NotebookLM) to automate the highly repetit
UC_0059 | Medium | True | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'This suite of segment-specific AI frameworks identifies strategic partnerships by transforming mark
UC_0060 | Medium | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | "Developed in collaboration with the Airgas legal team, this AI-driven contract analysis framework d
UC_0061 | Medium | False | NotebookLM | NotebookLM | 'Designed to transform AI from a basic chat interface into a proactive revenue-generation engine, th
UC_0062 | Small | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | "Designed to accelerate internal mobility and talent visibility, this two-part AI framework streamli
UC_0063 | Small | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | "Designed to mitigate financial risk and standardize new account vetting, this interactive AI assist
UC_0064 | Medium | True | App Script (app) | App Script | 'Build in partnership with Airgas Advanced Fabrication leadership Boris  Shneyder\nScalable & Secure
UC_0065 | Medium | True | Workspace Studio (ex Flows) | Workspace Studio | 'Designed to filter market noise and accelerate strategic decision-making, this scalable AI framewor
UC_0066 | Small | False | NotebookLM | NotebookLM | 'NotebooksLM to help with onboarding of new team members'
UC_0067 | Small | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'Gems to help with searches in documentation of some source applications or some tools (Maximo, SAP,
UC_0068 | Small | False | App Script (app) | App Script | 'Scripts / formulas to automate some actions in gsheets (creation of new tabs in a gsheet based on a
UC_0069 | Small | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'A specialized diagnostic tool designed to act as a first line of defense for employees. It uses adv
UC_0070 | Small | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'A digital specialized sales assistant. It streamlines your "Pre-Call Planning" by doing the heavy l
UC_0071 | Small | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'Gem is designed to act as a high-level Sales Enablement Consultant. It transforms raw audio data fr
UC_0072 | Small | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'An elite sales coaching tool designed to transform subjective "gut-feel" management into a repeatab
UC_0073 | Medium | False | App Script (app), Gemini (Prompts / Gems) | App Script, Gemini Prompts/Gems | 'Building a web app in AppScript via prompting on Gemini. The application allows managing agent sche
UC_0074 | Small | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'Airgas Safety & Compliance Sales Expert, I am designed to bridge the gap between complex industrial
UC_0075 | Small | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'Price Guidance tool, dedicated procurement specialist and pricing expert. Primary function is to se
UC_0076 | Small | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'Lead Generation & Prospecting Assistant, functions as a specialized digital researcher designed to 
UC_0077 | Small | False | nan |  | 'Automate the follow up on AR collections team. We currently used a memo file, that needs manual inp
UC_0078 | Large | True | Python on Power BI (Fabric), Gemini (Prompts / Gems), Advance Coding | Advance Coding, Gemini Prompts/Gems, Python on Fabric | 'AI-Driven Customer Clustering (Packaged Gases): I am currently developing a Python project using Go
UC_0079 | Small | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'Airgas Product Search Pro, serves as a specialized, live search interface designed specifically for
UC_0080 | Medium | False | NotebookLM | NotebookLM | 'A comprehensive training and implementation guide for the Blind Zebra Sales Operating System (BZSOS
UC_0081 | Medium | False | App Script (app) | App Script | 'An Industrial Gas Timeline view polling publicly available information to pull together a graphical
UC_0082 | Medium | True | NotebookLM | NotebookLM | "This notebook serves as a comprehensive training and reference guide for transitioning a company's 
UC_0083 | Small | False | NotebookLM | NotebookLM | 'This Notebook serves as a comprehensive digital reference guide for the welding industry, compiling
UC_0084 | Small | False | App Script (app) | App Script | "An ASU 'simulator' allowing non-engineers to understand and interact with an ASU, educating them to
UC_0085 | Medium | True | NotebookLM | NotebookLM | 'This Notebook serves as a comprehensive repository of SAP training guides, standard operating proce
UC_0086 | Small | False | NotebookLM | NotebookLM | 'A Notebook that is loaded with all of the information that a manager in Total Access can access to 
UC_0087 | Medium | True | NotebookLM | NotebookLM | 'This notebook serves as a comprehensive training and reference guide for Airgas employees managing 
UC_0088 | Small | False | Power BI (app) | Power BI | 'A Gemini-Powered tool allowing a Logistics Planner to be advised on how to attain improved Driver e
UC_0089 | Small | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'Using Gemini to allow us to improve and enhance our existing Capacity Planning Tool (used for capit
UC_0090 | Small | False | App Script (app) | App Script | 'Created a code that we use in Google Sites for management to run calculations on budget adjustments
UC_0091 | Medium | True | Python on Power BI (Fabric) | Python on Fabric | 'Created a code while assisting with our website development team on what a virtual assistant would 
UC_0092 | Small | False | Power BI (app) | Power BI | 'Using Gemini to guide best practises in development of Asset Stewardship reporting. (Primarily with
UC_0093 | Medium | True | App Script (app), Python on Power BI (Fabric) | App Script, Python on Fabric | 'Creation of a platform that allows different entities of the Group to access our asset lists, based
UC_0094 | Medium | False | nan |  | 'Possibility to create technical agents capable of retrieving information from our structured docume
UC_0095 | Small | False | NotebookLM | NotebookLM | 'Working on a Notebook LM that will allow ABOC or similar associates to automatically create a post 
UC_0096 | Small | False | NotebookLM | NotebookLM | 'Working on a Notebook LM that will produce consistent and though Corrective actions based on attach
UC_0097 | Small | False | NotebookLM, App Script (app), Gemini (Prompts / Gems) | App Script, Gemini Prompts/Gems, NotebookLM | 'Working on a Google Site that will serve as a dashboard to track new account leads submitted by Bra
UC_0098 | Medium | False | AI Studio (app) | AI Studio | 'Working on a tool for sales reps.\nInput: Our offer to the customer, database with competitor produ
UC_0099 | Small | False | AI Studio (app), App Script (app), Gemini (Prompts / Gems) | AI Studio, App Script, Gemini Prompts/Gems | 'Integration of AI tools into current workflows and Proof of concept'
UC_0100 | Medium | False | App Script (app), Gemini (Prompts / Gems) | App Script, Gemini Prompts/Gems | 'Tool for distributor trainings, including all needed knowledge and optional knowledge for advanced 
UC_0101 | Small | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | '\nAirgas DRIVE Financial Analyzer (For Process Gases Division)\nAnalysis focused gem that produces 
UC_0102 | Small | False | Gemini (Prompts / Gems), App Script (app) | App Script, Gemini Prompts/Gems | '\nRDA Packing Slip Extractor\nGem for extracting key information from welding equipment packing sli
UC_0103 | Medium | False | App Script (app) | App Script | '\nARC (Airgas Red-D-Arc Collaboration Tool)\nFull pipeline CRM tracker for transferring Red-D-Arc l
UC_0104 | Medium | True | App Script (app), Web App/Internal Platform, Advance Coding | Advance Coding, App Script, Web App/Platform | '\nAUQA (Ammonia Universal Quoting and Analysis Tool)\nQuote generation, tracking, pipelines, delega
UC_0105 | Medium | False | App Script (app) | App Script | '\nProcess Gases Hub: DRIVE and PG AI Group\nLanding page with useful links and a registration and t
UC_0106 | Small | False | App Script (app), AI Studio (app) | AI Studio, App Script | 'Create an interactive corporate credit dashboard for the complex collection team to view high level
UC_0107 | Small | False | App Script (app) | App Script | 'A file management tool has been created for Finance tax team, in order to facilitate viewing invoic
UC_0108 | Small | False | Appsheet, App Script (app), Workspace Studio (ex Flows) | App Script, AppSheet, Workspace Studio | 'Smart Maintenance and Equipment Management System. Development and implementation of a flexible ana
UC_0109 | Small | False | Appsheet, App Script (app), Workspace Studio (ex Flows) | App Script, AppSheet, Workspace Studio | 'Developing applications for colleagues according to their requests'
UC_0110 | Medium | False | Workspace Studio (ex Flows), AI Studio (app) | AI Studio, Workspace Studio | 'This Autonomous Agentic Architecture automates technical data enrichment for 140,000 spare parts us
UC_0111 | Large | True | Workspace Studio (ex Flows), AI Studio (app) | AI Studio, Workspace Studio | 'This proposal outlines the transition from passive AI models (GEMs) to Autonomous Industrial Agents
UC_0112 | Small | False | App Script (app) | App Script | 'Advanced Multi-Relational Serial Letter Generator: An automated document engine that maps complex d
UC_0113 | Small | False | NotebookLM | NotebookLM | '1) Smart Document Analysis (P&IDs, Datasheet, Specs)\nNotebookLM can instantly:\n* Summarize key pa
UC_0114 | Medium | False | App Script (app), Appsheet | App Script, AppSheet | 'AI-Enhanced Market Relationship Management (MRM) Platform\n\n1) Automated Data Processing & Storage
UC_0115 | Small | False | App Script (app) | App Script | 'Send automatic reminders to the team to take action before the legal deadlines set by court are exp
UC_0116 | Small | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'Set standardized extraction of non-standard payments information from external supplier for ticket 
UC_0117 | Small | False | App Script (app) | App Script | 'This tool is a comprehensive, automated Command Center and Dashboard built on Google Workspace (Goo
UC_0118 | Small | False | App Script (app) | App Script | 'This product is a Google Sheets Automation Tool designed to streamline the creation, formatting, an
UC_0119 | Small | False | App Script (app) | App Script | 'This product is a Google Apps Script automation tool designed to streamline the auditing of Vending
UC_0120 | Medium | False | App Script (app) | App Script | 'You have built a Custom Automated Search Engine directly inside your Google Sheet. Instead of manua
UC_0121 | Medium | False | NotebookLM | NotebookLM | 'Chatbot: Air Liquide BI Agent - Ask me a question!\nTo support 23,000 BI users with a team of only 
UC_0122 | Medium | False | NotebookLM | NotebookLM | 'Chatbot: UDP Assistant bot - Ask me a question!\nTo support GDO and Data & AI Engineers on all thei
UC_0123 | Medium | True | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'Gem: 🧐UX4BI Audit tool\nMaking a Power BI report is one thing, making it easy to read and professio
UC_0124 | Medium | False | NotebookLM, Gemini (Prompts / Gems), Workspace Studio (ex Flows), App Script (app), AI Studio (app) | AI Studio, App Script, Gemini Prompts/Gems, NotebookLM, Workspace Studio | 'Create an interactive corporate credit dashboard for the complex collection team to view high level
UC_0125 | Medium | True | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'The "Six Sigma Project Assistant" GEM acts as a virtual Master Black Belt, empowering associates to
UC_0126 | Medium | False | Gemini (Prompts / Gems), App Script (app) | App Script, Gemini Prompts/Gems | 'Create a one-stop-shop for SRM activities for globally-segmented Strategic and Potential suppliers.
UC_0127 | Medium | True | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'The "Project Pilot" Gem provides immense value by acting as an on-demand, interactive mentor that g
UC_0128 | Medium | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'The "Cylinder Optimization Engine" GEM functions as an expert-level Supply Chain Analyst that trans
UC_0129 | Medium | True | NotebookLM | NotebookLM | 'This easy-to-use NotebookLM "User Guide: Airgas.com" bridges a critical operational blind spot by g
UC_0130 | Small | False | NotebookLM | NotebookLM | 'This NotebookLM-powered newsletter "Gemini Newsletter - Corporate Credit and Collections" & podcast
UC_0131 | Medium | True | Gemini (Prompts / Gems), App Script (app), Python on Power BI (Fabric), Power BI (app), NotebookLM | App Script, Gemini Prompts/Gems, NotebookLM, Power BI, Python on Fabric | 'Market Intelligence Ecoystem for Airgas - Market Intelligence Process with Gemini \n\nHow the Ecosy
UC_0132 | Small | False | Advance Coding | Advance Coding | 'Layout optimizer tool\n\nIt is a react based tool that allows to optimize the layout of the plant g
UC_0133 | Small | False | App Script (app) | App Script | 'Dynamic Simulation of tube rupture\n\nSimulate dynamicaly the proces of tube rupture in a Heat Exch
UC_0134 | Medium | True | App Script (app), Gemini (Prompts / Gems), NotebookLM | App Script, Gemini Prompts/Gems, NotebookLM | 'AI Verbatim Analysis\n\nTo analyze big chunks of unstructured data (customer verbatim) from 100 to 
UC_0135 | Small | False | Gemini (Prompts / Gems), App Script (app) | App Script, Gemini Prompts/Gems | 'SAP S/4HANA Data Extraction & Processing Optimization via Scripting\n\nDeployment of automated scri
UC_0136 | Medium | True | Power BI (app), Python on Power BI (Fabric), Gemini (Prompts / Gems) | Gemini Prompts/Gems, Power BI, Python on Fabric | 'Upcoming: Financial KPI Revamp in PowerBI via Lakehouse & Microsoft Fabric Integration\n\nDesign an
UC_0137 | Medium | True | Gemini (Prompts / Gems), App Script (app), Power BI (app), Python on DataStudio | App Script, Gemini Prompts/Gems, Power BI, Python on DataStudio | 'Global Supply Chain Tool for Packaged Gas\n\nPhase 1 : Distribution Lead Time Calculator\n\nCreate 
UC_0138 | Medium | True | Web App/Internal Platform, Advance Coding | Advance Coding, Web App/Platform | "AI-Powered PO Risk & Discrepancy Engine\n\nDevelop a predictive application for AR Collectors to pr
UC_0139 | Medium | True | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'The "Airgas Cylinder Audit Assistant" is an AI assistant that helps Airgas teams track cylinder bal
UC_0140 | Medium | False | NotebookLM, Gemini (Prompts / Gems) | Gemini Prompts/Gems, NotebookLM | 'The Objective\nTo utilize NotebookLM as a "Project Auditor" that helps the Head of Projects challen
UC_0141 | Medium | False | NotebookLM, Gemini (Prompts / Gems) | Gemini Prompts/Gems, NotebookLM | 'The Objective\nTo provide the Project Manager and team with an automated "Project Memory." By using
UC_0142 | Medium | False | NotebookLM, Gemini (Prompts / Gems) | Gemini Prompts/Gems, NotebookLM | 'Project (not started yet)\nTo use NotebookLM to gather the information of entire project protfolio 
UC_0143 | Small | False | nan |  | 'Create an automated client report: \n-we need to analyze and summarize data coming from gas flowmet
UC_0144 | Small | False | Gemini (Prompts / Gems), NotebookLM | Gemini Prompts/Gems, NotebookLM | 'Draft Detailed Desktop Procedures; clean up source materials from knowledge transfers, handling mul
UC_0145 | Medium | False | Gemini (Prompts / Gems), App Script (app), NotebookLM | App Script, Gemini Prompts/Gems, NotebookLM | 'NotebookLM Knowledge Hub 🚀\n\nThe NotebookLM Knowledge Hub is a dynamic interactive web interface d
UC_0146 | Small | False | NotebookLM, Gemini (Prompts / Gems) | Gemini Prompts/Gems, NotebookLM | 'Competitive Intelligence: NCE Product Marketing initiative in collaboration with WBL. Provide a vie
UC_0147 | Small | False | Gemini (Prompts / Gems), App Script (app) | App Script, Gemini Prompts/Gems | 'Create spripts to automate data clean-ups and data preparation'
UC_0148 | Small | False | Gemini (Prompts / Gems), NotebookLM, App Script (app), AI Studio (app) | AI Studio, App Script, Gemini Prompts/Gems, NotebookLM | 'Create tool to read insolvency lists from the official sources and to search for matches among our 
UC_0149 | Small | False | NotebookLM | NotebookLM | 'Procurement Savings Measurement: Rules and Reporting Standards : This NotebookLM helps you classify
UC_0150 | Small | False | NotebookLM | NotebookLM | 'Procurement performance helper: This NotebookLM can answer the questions you have if they have alre
UC_0151 | Medium | True | NotebookLM | NotebookLM | 'This AI-powered notebook serves as an interactive knowledge base and training assistant for the Eur
UC_0152 | Medium | True | App Script (app), Advance Coding | Advance Coding, App Script | 'Smart & Autonomous Expiry Notification Engine: Implementation of an Automated Notification System v
UC_0153 | Small | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'Creating of a gemini gem that is based on the support document for the diesel-surcharge 2026 in AL 
UC_0154 | Small | False | App Script (app) | App Script | 'The patient queuing system in ALCOHHC medical offices will also allow for the identification of the
UC_0155 | Small | False | App Script (app) | App Script | "Commercial team (Key account team) RFP (Request for Proposal) signoff\nExtract Client's email and a
UC_0156 | Small | False | App Script (app), Gemini (Prompts / Gems) | App Script, Gemini Prompts/Gems | "Commercial team (Key account team) quote request\nExtract Client's email and attachments, transform
UC_0157 | Small | False | App Script (app), Gemini (Prompts / Gems) | App Script, Gemini Prompts/Gems | 'E-expnse automation for EAP e-expense system. \nOrganise the invoices and list them in a matrix wit
UC_0158 | Small | False | App Script (app) | App Script | 'Extract data from historical POs and list in a matrix, for sales and proposal team to use to cross-
UC_0159 | Small | False | App Script (app) | App Script | 'Script Maintenance on Sales Competency Assessment \nObjective - Align the Competency Assessment too
UC_0160 | Medium | True | Power BI (app), Advance Coding | Advance Coding, Power BI | 'Predictive Analytics for Upselling and Cross-selling Opportunity Identification \nObjective - To id
UC_0161 | Medium | True | Gemini (Prompts / Gems), Power BI (app) | Gemini Prompts/Gems, Power BI | 'Objective: Enhance strategic market intelligence by visualizing the proximity between production as
UC_0162 | Small | False | Power BI (app) | Power BI | 'Optimize data models of my PoC / MVP reports in order to make it more efficient for industrializati
UC_0163 | Small | False | Workspace Studio (ex Flows), App Script (app) | App Script, Workspace Studio | 'Light Appscript solution to move data from a legacy format spreadsheet into a new format.\nThe use 
UC_0164 | Medium | True | App Script (app), Advance Coding | Advance Coding, App Script | 'Interactive Resource Forecasting & Allocation Tool: Development of a centralized Resource Managemen
UC_0165 | Small | False | App Script (app) | App Script | 'Dispatch Planner Tool\nAutomating planning of shipments to depots within current tools\n-Assisting 
UC_0166 | Medium | False | NotebookLM | NotebookLM | 'Chatbot for CSC Distributor Specialist Nordics. Tool for training Distributor Support Specialists a
UC_0167 | Medium | False | Gemini (Prompts / Gems), App Script (app) | App Script, Gemini Prompts/Gems | 'Objective: Automate the transfer of month-end financial data from our NAV BI cube directly into Goo
UC_0168 | Medium | False | App Script (app), Appsheet | App Script, AppSheet | 'H2 Mass Calculation Web App to calculate the Hydrogen Mass in Kg (based on NIST Equation) with a Pr
